client_id,message_index,rtt_seconds
6,0,0.001001119613647461
9,0,0.003000974655151367
0,0,0.003000974655151367
2,0,0.003000974655151367
1,0,0.003000974655151367
7,0,0.00400543212890625
2,1,0.000997781753540039
7,1,0.000997781753540039
2,2,0.0
7,2,0.0010037422180175781
7,3,0.0009961128234863281
7,4,0.0009996891021728516
2,4,0.0009975433349609375
4,1,0.0009975433349609375
0,2,0.002002716064453125
3,1,0.000997781753540039
8,1,0.0020029544830322266
4,2,0.000997781753540039
0,3,0.0009968280792236328
3,2,0.0
4,3,0.0010020732879638672
3,3,0.0
3,4,0.0
6,3,0.0009992122650146484
1,3,0.0009992122650146484
8,3,0.0020051002502441406
6,4,0.0010058879852294922
9,3,0.0020051002502441406
5,2,0.0010058879852294922
8,4,0.0
9,4,0.0009946823120117188
5,3,0.0009946823120117188
5,4,0.0
